ags,ags_name,election_date,eligible_voters,turnout,total_votes,cdu_csu,spd,fdp,afd,gruene,linke_pds,ad_demokraten,other
5358056,Titz,2017-05-14,6609,0.720532607,4762,0.37654321,0.329289059,0.110046828,0.071732652,0.045764155,0.030012771,0.00063857,0.035972754
5358060,Vettweiß,2017-05-14,7216,0.6904102,4982,0.39727974,0.309581811,0.097442144,0.07044255,0.045879009,0.036540804,0.000203004,0.042630938
5362004,"Bedburg, Stadt",2017-05-14,18151,0.68425982,12420,0.367328667,0.339492105,0.110776494,0.078300505,0.030766726,0.027510988,0.001302295,0.04452222
5362008,"Bergheim, Stadt",2017-05-14,42962,0.640333318,27510,0.333983441,0.320846366,0.123679853,0.095271389,0.042134315,0.039190432,0.001067157,0.043827047
5362012,"Brühl, Stadt",2017-05-14,32640,0.692279412,22596,0.327554622,0.300433403,0.137572048,0.066440284,0.078682811,0.047450963,0.001027657,0.040838211
5362016,"Elsdorf, Stadt",2017-05-14,16091,0.63091169,10152,0.346530694,0.320835833,0.116976605,0.103379324,0.038092382,0.031493701,0.0004999,0.042191562
5362020,"Erftstadt, Stadt",2017-05-14,38940,0.692604006,26970,0.350554473,0.296043758,0.145998801,0.072680953,0.055896898,0.036939907,0.000674359,0.04121085
5362024,"Frechen, Stadt",2017-05-14,37922,0.683112705,25905,0.334857545,0.311017313,0.140227459,0.072028765,0.05612225,0.042834252,0.000898894,0.042013522
5362028,"Hürth, Stadt",2017-05-14,44304,0.662016974,29330,0.347411866,0.30772141,0.124196045,0.070128977,0.063043852,0.044264832,0.000859845,0.042373173
5362032,"Kerpen, Stadt",2017-05-14,47594,0.648653192,30872,0.330512921,0.325823167,0.121343303,0.082087105,0.050111505,0.042929293,0.00167257,0.045520136
5362036,"Pulheim, Stadt",2017-05-14,41345,0.738976902,30553,0.36480148,0.280802008,0.161822026,0.062760124,0.065633877,0.030719429,0.001156108,0.032304948
5362040,"Wesseling, Stadt",2017-05-14,24618,0.618937363,15237,0.322055304,0.311286892,0.123969689,0.104892316,0.050584951,0.04028184,0.001395905,0.045533103
5366004,"Bad Münstereifel, Stadt",2017-05-14,14366,0.683001531,9812,0.397005679,0.250696954,0.151368095,0.073618998,0.05348477,0.040784719,0.000206505,0.03283428
5366008,Blankenheim,2017-05-14,6699,0.694432005,4652,0.432061069,0.254525627,0.13391494,0.06259542,0.052780807,0.035114504,0.000436205,0.028571429
5366012,Dahlem,2017-05-14,3326,0.716175586,2382,0.44330338,0.21309371,0.171587505,0.058194266,0.042789902,0.031236628,0,0.039794608
5366016,"Euskirchen, Stadt",2017-05-14,42619,0.590722448,25176,0.369633382,0.269376105,0.142828429,0.087152275,0.049847242,0.040038591,0.000924586,0.040199389
5366020,Hellenthal,2017-05-14,6272,0.690210459,4329,0.431685025,0.238340755,0.144129365,0.069838294,0.050152332,0.027888446,0,0.037965784
5366024,Kall,2017-05-14,8999,0.654072675,5886,0.40251464,0.270409921,0.132793662,0.078883913,0.047364795,0.032552532,0.000688942,0.034791595
5366028,"Mechernich, Stadt",2017-05-14,21336,0.652980877,13932,0.382707094,0.28376614,0.124691716,0.081386914,0.05462063,0.034600319,0.000435224,0.037791963
5366032,Nettersheim,2017-05-14,6006,0.73026973,4386,0.459584296,0.238799076,0.130484988,0.060277136,0.049884527,0.027944573,0.000230947,0.032794457
5366036,"Schleiden, Stadt",2017-05-14,10296,0.633449883,6522,0.407711366,0.254103438,0.155156395,0.064571075,0.050789718,0.02911118,0.000309693,0.038247135
5366040,Weilerswist,2017-05-14,13876,0.636134333,8827,0.34743237,0.301237964,0.135373682,0.091357176,0.046767538,0.033585511,0.000917011,0.043328748
5366044,"Zülpich, Stadt",2017-05-14,16019,0.630438854,10099,0.384368737,0.277154309,0.13246493,0.078857715,0.050701403,0.035771543,0.000501002,0.040180361
5370004,"Erkelenz, Stadt",2017-05-14,34928,0.66811727,23336,0.390973851,0.264790201,0.132699157,0.066588481,0.059768917,0.036139345,0.000955608,0.048084441
5370008,Gangelt,2017-05-14,8719,0.672210116,5861,0.515246015,0.230769231,0.098925849,0.043485793,0.042273042,0.022869023,0.000693001,0.045738046
5370012,"Geilenkirchen, Stadt",2017-05-14,20713,0.638922416,13234,0.408172671,0.284737691,0.105768492,0.066825409,0.051616868,0.039173516,0.000537676,0.043167678
5370016,"Heinsberg, Stadt",2017-05-14,31037,0.619873055,19239,0.452419995,0.259560963,0.112933086,0.061412325,0.04321608,0.029780481,0.000528961,0.040148109
5370020,"Hückelhoven, Stadt",2017-05-14,28251,0.601182259,16984,0.37321835,0.318002156,0.086716972,0.090729429,0.03886693,0.038687268,0.003174033,0.050604863
5370024,Selfkant,2017-05-14,5401,0.68042955,3675,0.531076582,0.236958935,0.103773585,0.033573807,0.046337403,0.019700333,0,0.028579356
5370028,"Übach-Palenberg, Stadt",2017-05-14,18213,0.625377478,11390,0.313519294,0.372337581,0.092505124,0.080028518,0.041172801,0.047321986,0.002049728,0.051064967
5370032,Waldfeucht,2017-05-14,6469,0.732725305,4740,0.537355088,0.201159296,0.112065264,0.038213826,0.044224989,0.031558609,0.000644053,0.034778875
5370036,"Wassenberg, Stadt",2017-05-14,13844,0.639338342,8851,0.384923817,0.291786001,0.11284225,0.06598694,0.055103677,0.04170008,0.001489289,0.046167946
5370040,"Wegberg, Stadt",2017-05-14,22292,0.685851427,15289,0.391669421,0.272198347,0.141487603,0.061818182,0.052231405,0.037752066,0.000264463,0.042578512
5374004,"Bergneustadt, Stadt",2017-05-14,12941,0.612240167,7923,0.383954889,0.274894271,0.121107266,0.089965398,0.03754966,0.036268102,0.012559272,0.043701141
5374008,Engelskirchen,2017-05-14,15020,0.692010652,10394,0.348016336,0.311454687,0.128451964,0.071664722,0.059704395,0.040062233,0.002236484,0.038409179
5374012,"Gummersbach, Stadt",2017-05-14,37831,0.61222278,23161,0.357089699,0.284419735,0.128223088,0.091012564,0.049774548,0.044302412,0.001751083,0.04342687
5374016,"Hückeswagen, Stadt",2017-05-14,11886,0.661618711,7864,0.387412948,0.270183131,0.142120196,0.061000774,0.054423523,0.040495228,0.000386897,0.043977302
5374020,Lindlar,2017-05-14,16588,0.712683868,11822,0.416339423,0.270189517,0.126259177,0.050367082,0.065050367,0.035342325,0.001451255,0.035000854
5374024,Marienheide,2017-05-14,10120,0.666007905,6740,0.405600723,0.274616079,0.116681722,0.071966275,0.046371575,0.040499849,0.00255947,0.041704306
5374028,Morsbach,2017-05-14,8248,0.605965082,4998,0.42955745,0.260860739,0.116118555,0.079780755,0.047097036,0.03410475,0.000406009,0.032074706
5374032,Nümbrecht,2017-05-14,13290,0.646802107,8596,0.383241274,0.278411094,0.124221413,0.07392173,0.057233517,0.042308144,0.000352568,0.04031026
5374036,"Radevormwald, Stadt",2017-05-14,16629,0.640447411,10650,0.367914642,0.266076022,0.140897399,0.08030866,0.049347433,0.040583024,0.00161951,0.05325331
5374040,Reichshof,2017-05-14,14731,0.61754124,9097,0.370716511,0.27047174,0.126835781,0.088673787,0.05329328,0.041388518,0.000890076,0.047730307
5374044,"Waldbröl, Stadt",2017-05-14,14077,0.55949421,7876,0.4116204,0.248289219,0.10522918,0.094254358,0.049580374,0.045965139,0.001420271,0.043641059
5374048,"Wiehl, Stadt",2017-05-14,20061,0.662230198,13285,0.352026821,0.296555928,0.141267906,0.080234685,0.05021335,0.041374581,0.000152393,0.038174337
5374052,"Wipperfürth, Stadt",2017-05-14,16592,0.693948891,11514,0.457225586,0.246643854,0.133456173,0.043169255,0.051855752,0.031411775,0.000965166,0.03527244
5378004,"Bergisch Gladbach, Stadt",2017-05-14,83504,0.712025771,59457,0.346613613,0.261039621,0.162461903,0.062224856,0.085099898,0.044361666,0.000846597,0.037351846
5378008,"Burscheid, Stadt",2017-05-14,13786,0.675105179,9307,0.330840919,0.284893801,0.158430863,0.075530993,0.062852189,0.041829215,0.000433463,0.045188557
5378012,Kürten,2017-05-14,15729,0.728526925,11459,0.406255491,0.23045159,0.153751538,0.065190652,0.06615709,0.034703918,0.000351432,0.043138289
5378016,"Leichlingen (Rhld.), Stadt",2017-05-14,22177,0.732290211,16240,0.34646596,0.26983832,0.172768383,0.066592331,0.061822462,0.038716472,0.000433624,0.043362448
