ags,GEN,total_22,german_born,turkish_born,italian_born
010555543022,Heringsdorf (Kreis Ostholstein),1137,0.90237467,0.002638522,0.002638522
010555543031,Neukirchen (Kreis Ostholstein),1228,0.926710098,0.002442997,0
010555543043,Wangels,2169,0.917934532,0,0.004149378
010555546006,Beschendorf,580,0.95,0,0
010555546011,Damlos,644,0.939440994,0,0
010555546020,Harmsdorf (Kreis Ostholstein),696,0.936781609,0,0
010555546023,Kabelhorst,417,0.918465228,0,0
010555546027,Lensahn,4982,0.898434364,0.002810116,0.001405058
010555546029,Manhagen,392,0.948979592,0,0
010555546036,Riepsdorf,969,0.931888545,0,0
010555591002,Altenkrempe,1082,0.936229205,0,0.002772643
010555591024,Kasseedorf,1448,0.921270718,0,0
010555591037,Schashagen,2010,0.926865672,0.001492537,0
010555591038,Schönwalde am Bungsberg,2489,0.925672961,0.001205303,0.001205303
010555591039,Sierksdorf,1561,0.819987188,0.001921845,0.00384369
010560002002,"Barmstedt, Stadt",10282,0.864617779,0.016241976,0.001750632
010560005005,Bönningstedt,4525,0.865414365,0.005303867,0.00198895
010560015015,"Elmshorn, Stadt",51248,0.772947237,0.028937715,0.002224477
010560018018,Halstenbek,18012,0.842715967,0.008549856,0.00188763
010560021021,Hasloh,3755,0.887882823,0.003994674,0.00159787
010560025025,Helgoland,1405,0.790035587,0,0
010560039039,"Pinneberg, Stadt",43925,0.761320433,0.028958452,0.002595333
010560041041,"Quickborn, Stadt",22372,0.845252995,0.00880565,0.001653853
010560043043,Rellingen,14560,0.866346154,0.00885989,0.001717033
010560044044,"Schenefeld, Stadt",19465,0.828101721,0.019213974,0.002671462
010560048048,"Tornesch, Stadt",14067,0.865500818,0.013648966,0.001350679
010560049049,"Uetersen, Stadt",18344,0.801351941,0.038377671,0.002344091
010560050050,"Wedel, Stadt",34420,0.798227775,0.024259152,0.003980244
010565616029,Klein Nordende,3361,0.931270455,0.001785183,0.000892591
010565616030,Klein Offenseth0Sparrieshoop,3089,0.911298155,0.003237294,0
010565616031,Kölln0Reisiek,3400,0.881764706,0.006176471,0.001470588
010565616033,Seester,1037,0.93539055,0,0
010565616042,Raa0Besenbek,555,0.920720721,0.005405405,0
010565616045,Seestermühe,928,0.931034483,0,0
010565616046,Seeth0Ekholt,938,0.891257996,0.003198294,0
010565636006,Bokel (Kreis Pinneberg),589,0.959252971,0,0
010565636010,Brande0Hörnerkirchen,1685,0.93768546,0.001780415,0
010565636038,Osterhorn,423,0.858156028,0.054373522,0
